State,County,fips,Year,Female life expectancy (years),"Female life expectancy (national, years)","Female life expectancy (state, years)",Male life expectancy (years),"Male life expectancy (national, years)","Male life expectancy (state, years)"
Missouri,Nodaway County,29147,2010,80.21,80.79,79.59,76.23,76.07,74.61
Missouri,Oregon County,29149,2010,79.33,80.79,79.59,72.78,76.07,74.61
Missouri,Osage County,29151,2010,80.43,80.79,79.59,75.66,76.07,74.61
Missouri,Ozark County,29153,2010,79.48,80.79,79.59,74.20,76.07,74.61
Missouri,Pemiscot County,29155,2010,75.80,80.79,79.59,68.11,76.07,74.61
Missouri,Perry County,29157,2010,79.81,80.79,79.59,74.58,76.07,74.61
Missouri,Pettis County,29159,2010,78.97,80.79,79.59,75.28,76.07,74.61
Missouri,Phelps County,29161,2010,79.22,80.79,79.59,74.19,76.07,74.61
Missouri,Pike County,29163,2010,79.53,80.79,79.59,73.62,76.07,74.61
Missouri,Platte County,29165,2010,81.58,80.79,79.59,77.97,76.07,74.61
Missouri,Polk County,29167,2010,78.19,80.79,79.59,73.72,76.07,74.61
Missouri,Pulaski County,29169,2010,78.91,80.79,79.59,74.37,76.07,74.61
Missouri,Putnam County,29171,2010,80.52,80.79,79.59,74.66,76.07,74.61
Missouri,Ralls County,29173,2010,80.92,80.79,79.59,76.33,76.07,74.61
Missouri,Randolph County,29175,2010,78.72,80.79,79.59,74.07,76.07,74.61
Missouri,Ray County,29177,2010,78.25,80.79,79.59,74.19,76.07,74.61
Missouri,Reynolds County,29179,2010,77.86,80.79,79.59,70.23,76.07,74.61
Missouri,Ripley County,29181,2010,76.02,80.79,79.59,71.24,76.07,74.61
Missouri,St. Charles County,29183,2010,82.02,80.79,79.59,77.72,76.07,74.61
Missouri,St. Clair County,29185,2010,80.04,80.79,79.59,73.38,76.07,74.61
Missouri,Ste. Genevieve County,29186,2010,80.68,80.79,79.59,75.52,76.07,74.61
Missouri,St. Francois County,29187,2010,77.98,80.79,79.59,72.57,76.07,74.61
Missouri,St. Louis County,29189,2010,81.05,80.79,79.59,76.15,76.07,74.61
Missouri,Saline County,29195,2010,79.37,80.79,79.59,75.02,76.07,74.61
Missouri,Schuyler County,29197,2010,80.52,80.79,79.59,74.66,76.07,74.61
Missouri,Scotland County,29199,2010,79.42,80.79,79.59,74.88,76.07,74.61
Missouri,Scott County,29201,2010,78.27,80.79,79.59,71.63,76.07,74.61
Missouri,Shannon County,29203,2010,79.33,80.79,79.59,72.78,76.07,74.61
Missouri,Shelby County,29205,2010,80.09,80.79,79.59,74.29,76.07,74.61
Missouri,Stoddard County,29207,2010,78.05,80.79,79.59,72.26,76.07,74.61
Missouri,Stone County,29209,2010,81.65,80.79,79.59,75.93,76.07,74.61
Missouri,Sullivan County,29211,2010,79.66,80.79,79.59,74.31,76.07,74.61
Missouri,Taney County,29213,2010,81.37,80.79,79.59,75.14,76.07,74.61
Missouri,Texas County,29215,2010,79.31,80.79,79.59,73.48,76.07,74.61
Missouri,Vernon County,29217,2010,79.17,80.79,79.59,73.02,76.07,74.61
Missouri,Warren County,29219,2010,81.51,80.79,79.59,74.84,76.07,74.61
Missouri,Washington County,29221,2010,76.50,80.79,79.59,71.30,76.07,74.61
Missouri,Wayne County,29223,2010,78.05,80.79,79.59,72.26,76.07,74.61
Missouri,Webster County,29225,2010,78.35,80.79,79.59,74.96,76.07,74.61
Missouri,Worth County,29227,2010,79.74,80.79,79.59,75.64,76.07,74.61
Missouri,Wright County,29229,2010,77.70,80.79,79.59,73.68,76.07,74.61
Missouri,St. Louis City,29510,2010,76.98,80.79,79.59,69.69,76.07,74.61
Montana,Beaverhead County,30001,2010,79.68,80.79,80.52,76.38,76.07,76.22
Montana,Big Horn County,30003,2010,79.63,80.79,80.52,75.07,76.07,76.22
Montana,Blaine County,30005,2010,79.55,80.79,80.52,72.89,76.07,76.22
Montana,Broadwater County,30007,2010,81.12,80.79,80.52,76.28,76.07,76.22
Montana,Carbon County,30009,2010,79.63,80.79,80.52,75.07,76.07,76.22
Montana,Carter County,30011,2010,80.15,80.79,80.52,75.79,76.07,76.22
Montana,Cascade County,30013,2010,81.10,80.79,80.52,75.46,76.07,76.22
Montana,Chouteau County,30015,2010,79.55,80.79,80.52,72.89,76.07,76.22
Montana,Custer County,30017,2010,80.15,80.79,80.52,75.79,76.07,76.22
Montana,Daniels County,30019,2010,78.86,80.79,80.52,72.19,76.07,76.22
Montana,Dawson County,30021,2010,80.37,80.79,80.52,75.82,76.07,76.22
Montana,Deer Lodge County,30023,2010,79.68,80.79,80.52,76.38,76.07,76.22
Montana,Fallon County,30025,2010,81.02,80.79,80.52,76.86,76.07,76.22
Montana,Fergus County,30027,2010,80.38,80.79,80.52,76.14,76.07,76.22
Montana,Flathead County,30029,2010,81.22,80.79,80.52,76.88,76.07,76.22
Montana,Gallatin County,30031,2010,81.81,80.79,80.52,79.06,76.07,76.22
Montana,Garfield County,30033,2010,81.02,80.79,80.52,76.86,76.07,76.22
Montana,Glacier County,30035,2010,79.55,80.79,80.52,72.89,76.07,76.22
Montana,Golden Valley County,30037,2010,79.82,80.79,80.52,76.42,76.07,76.22
Montana,Granite County,30039,2010,81.22,80.79,80.52,76.88,76.07,76.22
Montana,Hill County,30041,2010,80.81,80.79,80.52,75.75,76.07,76.22
Montana,Jefferson County,30043,2010,81.12,80.79,80.52,76.28,76.07,76.22
Montana,Judith Basin County,30045,2010,81.10,80.79,80.52,75.46,76.07,76.22
Montana,Lake County,30047,2010,80.82,80.79,80.52,74.63,76.07,76.22
Montana,Lewis and Clark County,30049,2010,80.50,80.79,80.52,76.10,76.07,76.22
Montana,Liberty County,30051,2010,80.81,80.79,80.52,75.75,76.07,76.22
Montana,Lincoln County,30053,2010,79.60,80.79,80.52,75.80,76.07,76.22
Montana,McCone County,30055,2010,81.02,80.79,80.52,76.86,76.07,76.22
Montana,Madison County,30057,2010,79.73,80.79,80.52,73.91,76.07,76.22
Montana,Meagher County,30059,2010,81.12,80.79,80.52,76.28,76.07,76.22
Montana,Mineral County,30061,2010,80.52,80.79,80.52,77.57,76.07,76.22
Montana,Missoula County,30063,2010,80.52,80.79,80.52,77.57,76.07,76.22
Montana,Musselshell County,30065,2010,79.82,80.79,80.52,76.42,76.07,76.22
Montana,Park County,30067,2010,81.81,80.79,80.52,79.06,76.07,76.22
Montana,Petroleum County,30069,2010,80.00,80.79,80.52,76.11,76.07,76.22
Montana,Phillips County,30071,2010,80.38,80.79,80.52,76.14,76.07,76.22
Montana,Pondera County,30073,2010,79.55,80.79,80.52,72.89,76.07,76.22
Montana,Powder River County,30075,2010,80.15,80.79,80.52,75.79,76.07,76.22
Montana,Powell County,30077,2010,81.22,80.79,80.52,76.88,76.07,76.22
Montana,Prairie County,30079,2010,81.02,80.79,80.52,76.86,76.07,76.22
Montana,Ravalli County,30081,2010,81.69,80.79,80.52,76.93,76.07,76.22
Montana,Richland County,30083,2010,80.37,80.79,80.52,75.82,76.07,76.22
Montana,Roosevelt County,30085,2010,78.86,80.79,80.52,72.19,76.07,76.22
Montana,Rosebud County,30087,2010,80.00,80.79,80.52,76.11,76.07,76.22
Montana,Sanders County,30089,2010,79.60,80.79,80.52,75.80,76.07,76.22
Montana,Sheridan County,30091,2010,78.86,80.79,80.52,72.19,76.07,76.22
Montana,Silver Bow County,30093,2010,79.73,80.79,80.52,73.91,76.07,76.22
Montana,Stillwater County,30095,2010,79.82,80.79,80.52,76.42,76.07,76.22
Montana,Sweet Grass County,30097,2010,79.82,80.79,80.52,76.42,76.07,76.22
Montana,Teton County,30099,2010,79.55,80.79,80.52,72.89,76.07,76.22
Montana,Toole County,30101,2010,80.81,80.79,80.52,75.75,76.07,76.22
Montana,Treasure County,30103,2010,80.00,80.79,80.52,76.11,76.07,76.22
Montana,Valley County,30105,2010,81.02,80.79,80.52,76.86,76.07,76.22
Montana,Wheatland County,30107,2010,79.82,80.79,80.52,76.42,76.07,76.22
Montana,Wibaux County,30109,2010,81.02,80.79,80.52,76.86,76.07,76.22
Montana,Yellowstone County,30111,2010,80.00,80.79,80.52,76.11,76.07,76.22
Nebraska,Adams County,31001,2010,81.08,80.79,81.37,76.97,76.07,76.89
Nebraska,Antelope County,31003,2010,82.04,80.79,81.37,77.30,76.07,76.89
Nebraska,Arthur County,31005,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Banner County,31007,2010,81.55,80.79,81.37,75.87,76.07,76.89
Nebraska,Blaine County,31009,2010,82.09,80.79,81.37,76.97,76.07,76.89
Nebraska,Boone County,31011,2010,81.27,80.79,81.37,76.12,76.07,76.89
Nebraska,Box Butte County,31013,2010,81.25,80.79,81.37,77.35,76.07,76.89
Nebraska,Boyd County,31015,2010,81.79,80.79,81.37,76.82,76.07,76.89
Nebraska,Brown County,31017,2010,82.09,80.79,81.37,76.97,76.07,76.89
Nebraska,Buffalo County,31019,2010,81.62,80.79,81.37,76.64,76.07,76.89
Nebraska,Burt County,31021,2010,79.74,80.79,81.37,74.42,76.07,76.89
Nebraska,Butler County,31023,2010,81.96,80.79,81.37,76.57,76.07,76.89
Nebraska,Cass County,31025,2010,80.17,80.79,81.37,75.90,76.07,76.89
Nebraska,Cedar County,31027,2010,83.81,80.79,81.37,77.70,76.07,76.89
Nebraska,Chase County,31029,2010,81.03,80.79,81.37,77.12,76.07,76.89
Nebraska,Cherry County,31031,2010,82.09,80.79,81.37,76.97,76.07,76.89
Nebraska,Cheyenne County,31033,2010,81.55,80.79,81.37,75.87,76.07,76.89
Nebraska,Clay County,31035,2010,81.69,80.79,81.37,76.62,76.07,76.89
Nebraska,Colfax County,31037,2010,81.96,80.79,81.37,76.57,76.07,76.89
Nebraska,Cuming County,31039,2010,83.08,80.79,81.37,77.77,76.07,76.89
Nebraska,Custer County,31041,2010,82.09,80.79,81.37,76.97,76.07,76.89
Nebraska,Dakota County,31043,2010,79.92,80.79,81.37,75.14,76.07,76.89
Nebraska,Dawes County,31045,2010,81.25,80.79,81.37,77.35,76.07,76.89
Nebraska,Dawson County,31047,2010,80.69,80.79,81.37,76.53,76.07,76.89
Nebraska,Deuel County,31049,2010,81.03,80.79,81.37,77.12,76.07,76.89
Nebraska,Dixon County,31051,2010,79.92,80.79,81.37,75.14,76.07,76.89
Nebraska,Dodge County,31053,2010,81.36,80.79,81.37,75.56,76.07,76.89
Nebraska,Douglas County,31055,2010,80.96,80.79,81.37,76.36,76.07,76.89
Nebraska,Dundy County,31057,2010,81.03,80.79,81.37,77.12,76.07,76.89
Nebraska,Fillmore County,31059,2010,81.69,80.79,81.37,76.62,76.07,76.89
Nebraska,Franklin County,31061,2010,81.29,80.79,81.37,77.97,76.07,76.89
Nebraska,Frontier County,31063,2010,81.17,80.79,81.37,76.12,76.07,76.89
Nebraska,Furnas County,31065,2010,81.29,80.79,81.37,77.97,76.07,76.89
Nebraska,Gage County,31067,2010,80.74,80.79,81.37,75.78,76.07,76.89
Nebraska,Garden County,31069,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Garfield County,31071,2010,81.62,80.79,81.37,76.74,76.07,76.89
Nebraska,Gosper County,31073,2010,80.69,80.79,81.37,76.53,76.07,76.89
Nebraska,Grant County,31075,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Greeley County,31077,2010,81.62,80.79,81.37,76.74,76.07,76.89
Nebraska,Hall County,31079,2010,80.95,80.79,81.37,76.05,76.07,76.89
Nebraska,Hamilton County,31081,2010,82.52,80.79,81.37,77.89,76.07,76.89
Nebraska,Harlan County,31083,2010,81.29,80.79,81.37,77.97,76.07,76.89
Nebraska,Hayes County,31085,2010,81.03,80.79,81.37,77.12,76.07,76.89
Nebraska,Hitchcock County,31087,2010,81.17,80.79,81.37,76.12,76.07,76.89
Nebraska,Holt County,31089,2010,81.79,80.79,81.37,76.82,76.07,76.89
Nebraska,Hooker County,31091,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Howard County,31093,2010,81.62,80.79,81.37,76.74,76.07,76.89
Nebraska,Jefferson County,31095,2010,81.69,80.79,81.37,76.62,76.07,76.89
Nebraska,Johnson County,31097,2010,80.21,80.79,81.37,75.81,76.07,76.89
Nebraska,Kearney County,31099,2010,81.29,80.79,81.37,77.97,76.07,76.89
Nebraska,Keith County,31101,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Keya Paha County,31103,2010,81.79,80.79,81.37,76.82,76.07,76.89
Nebraska,Kimball County,31105,2010,81.55,80.79,81.37,75.87,76.07,76.89
Nebraska,Knox County,31107,2010,82.04,80.79,81.37,77.30,76.07,76.89
Nebraska,Lancaster County,31109,2010,82.50,80.79,81.37,78.22,76.07,76.89
Nebraska,Lincoln County,31111,2010,81.03,80.79,81.37,77.12,76.07,76.89
Nebraska,Logan County,31113,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Loup County,31115,2010,82.09,80.79,81.37,76.97,76.07,76.89
Nebraska,McPherson County,31117,2010,80.88,80.79,81.37,76.13,76.07,76.89
Nebraska,Madison County,31119,2010,81.60,80.79,81.37,75.52,76.07,76.89
Nebraska,Merrick County,31121,2010,81.27,80.79,81.37,76.12,76.07,76.89
Nebraska,Morrill County,31123,2010,79.77,80.79,81.37,75.62,76.07,76.89
Nebraska,Nance County,31125,2010,81.27,80.79,81.37,76.12,76.07,76.89
Nebraska,Nemaha County,31127,2010,80.21,80.79,81.37,75.81,76.07,76.89
Nebraska,Nuckolls County,31129,2010,81.08,80.79,81.37,76.97,76.07,76.89
Nebraska,Otoe County,31131,2010,81.50,80.79,81.37,75.11,76.07,76.89
Nebraska,Pawnee County,31133,2010,80.21,80.79,81.37,75.81,76.07,76.89
Nebraska,Perkins County,31135,2010,81.03,80.79,81.37,77.12,76.07,76.89
Nebraska,Phelps County,31137,2010,80.69,80.79,81.37,76.53,76.07,76.89
Nebraska,Pierce County,31139,2010,82.04,80.79,81.37,77.30,76.07,76.89
Nebraska,Platte County,31141,2010,82.10,80.79,81.37,77.74,76.07,76.89
Nebraska,Polk County,31143,2010,82.52,80.79,81.37,77.89,76.07,76.89
Nebraska,Red Willow County,31145,2010,81.17,80.79,81.37,76.12,76.07,76.89
Nebraska,Richardson County,31147,2010,80.21,80.79,81.37,75.81,76.07,76.89
Nebraska,Rock County,31149,2010,81.79,80.79,81.37,76.82,76.07,76.89
Nebraska,Saline County,31151,2010,81.21,80.79,81.37,76.96,76.07,76.89
Nebraska,Sarpy County,31153,2010,81.54,80.79,81.37,78.43,76.07,76.89
Nebraska,Saunders County,31155,2010,80.71,80.79,81.37,76.96,76.07,76.89
Nebraska,Scotts Bluff County,31157,2010,79.77,80.79,81.37,75.62,76.07,76.89
Nebraska,Seward County,31159,2010,80.84,80.79,81.37,76.84,76.07,76.89
Nebraska,Sheridan County,31161,2010,79.77,80.79,81.37,75.62,76.07,76.89
Nebraska,Sherman County,31163,2010,81.62,80.79,81.37,76.74,76.07,76.89
Nebraska,Sioux County,31165,2010,81.25,80.79,81.37,77.35,76.07,76.89
Nebraska,Stanton County,31167,2010,83.08,80.79,81.37,77.77,76.07,76.89
Nebraska,Thayer County,31169,2010,81.69,80.79,81.37,76.62,76.07,76.89
Nebraska,Thomas County,31171,2010,82.09,80.79,81.37,76.97,76.07,76.89
Nebraska,Thurston County,31173,2010,79.74,80.79,81.37,74.42,76.07,76.89
Nebraska,Valley County,31175,2010,81.62,80.79,81.37,76.74,76.07,76.89
Nebraska,Washington County,31177,2010,81.54,80.79,81.37,77.73,76.07,76.89
Nebraska,Wayne County,31179,2010,83.81,80.79,81.37,77.70,76.07,76.89
Nebraska,Webster County,31181,2010,81.08,80.79,81.37,76.97,76.07,76.89
Nebraska,Wheeler County,31183,2010,81.62,80.79,81.37,76.74,76.07,76.89
Nebraska,York County,31185,2010,81.21,80.79,81.37,76.96,76.07,76.89
Nevada,Churchill County,32001,2010,79.21,80.79,80.16,74.36,76.07,75.56
Nevada,Clark County,32003,2010,80.39,80.79,80.16,75.74,76.07,75.56
Nevada,Douglas County,32005,2010,82.30,80.79,80.16,77.22,76.07,75.56
Nevada,Elko County,32007,2010,80.68,80.79,80.16,75.44,76.07,75.56
Nevada,Esmeralda County,32009,2010,76.71,80.79,80.16,71.12,76.07,75.56
Nevada,Eureka County,32011,2010,79.61,80.79,80.16,74.76,76.07,75.56
Nevada,Humboldt County,32013,2010,79.20,80.79,80.16,74.86,76.07,75.56
Nevada,Lander County,32015,2010,79.61,80.79,80.16,74.76,76.07,75.56
Nevada,Lincoln County,32017,2010,80.39,80.79,80.16,75.74,76.07,75.56
Nevada,Lyon County,32019,2010,79.34,80.79,80.16,74.70,76.07,75.56
Nevada,Mineral County,32021,2010,76.71,80.79,80.16,71.12,76.07,75.56
Nevada,Nye County,32023,2010,76.71,80.79,80.16,71.12,76.07,75.56
Nevada,Pershing County,32027,2010,79.20,80.79,80.16,74.86,76.07,75.56
Nevada,Storey County,32029,2010,79.34,80.79,80.16,74.70,76.07,75.56
Nevada,Washoe County,32031,2010,79.80,80.79,80.16,75.62,76.07,75.56
Nevada,White Pine County,32033,2010,79.61,80.79,80.16,74.76,76.07,75.56
Nevada,Carson City,32510,2010,78.82,80.79,80.16,74.14,76.07,75.56
New Hampshire,Belknap County,33001,2010,80.89,80.79,81.93,76.48,76.07,77.86
New Hampshire,Carroll County,33003,2010,82.41,80.79,81.93,77.67,76.07,77.86
New Hampshire,Cheshire County,33005,2010,81.87,80.79,81.93,77.04,76.07,77.86
New Hampshire,Coos County,33007,2010,79.98,80.79,81.93,75.51,76.07,77.86
New Hampshire,Grafton County,33009,2010,82.54,80.79,81.93,78.49,76.07,77.86
New Hampshire,Hillsborough County,33011,2010,82.02,80.79,81.93,78.37,76.07,77.86
New Hampshire,Merrimack County,33013,2010,82.23,80.79,81.93,77.80,76.07,77.86
New Hampshire,Rockingham County,33015,2010,82.34,80.79,81.93,78.55,76.07,77.86
New Hampshire,Strafford County,33017,2010,81.21,80.79,81.93,76.57,76.07,77.86
New Hampshire,Sullivan County,33019,2010,81.01,80.79,81.93,76.49,76.07,77.86
New Jersey,Atlantic County,34001,2010,79.30,80.79,81.96,75.31,76.07,77.49
New Jersey,Bergen County,34003,2010,84.26,80.79,81.96,80.53,76.07,77.49
New Jersey,Burlington County,34005,2010,81.30,80.79,81.96,77.49,76.07,77.49
New Jersey,Camden County,34007,2010,79.99,80.79,81.96,75.33,76.07,77.49
New Jersey,Cape May County,34009,2010,81.00,80.79,81.96,74.82,76.07,77.49
New Jersey,Cumberland County,34011,2010,79.13,80.79,81.96,74.37,76.07,77.49
New Jersey,Essex County,34013,2010,80.50,80.79,81.96,75.26,76.07,77.49
New Jersey,Gloucester County,34015,2010,80.55,80.79,81.96,75.92,76.07,77.49
New Jersey,Hudson County,34017,2010,82.17,80.79,81.96,77.16,76.07,77.49
New Jersey,Hunterdon County,34019,2010,83.29,80.79,81.96,79.45,76.07,77.49
New Jersey,Mercer County,34021,2010,81.45,80.79,81.96,76.89,76.07,77.49
New Jersey,Middlesex County,34023,2010,82.93,80.79,81.96,78.48,76.07,77.49
New Jersey,Monmouth County,34025,2010,82.13,80.79,81.96,77.62,76.07,77.49
New Jersey,Morris County,34027,2010,83.65,80.79,81.96,80.04,76.07,77.49
New Jersey,Ocean County,34029,2010,81.44,80.79,81.96,76.53,76.07,77.49
New Jersey,Passaic County,34031,2010,82.34,80.79,81.96,77.22,76.07,77.49
New Jersey,Salem County,34033,2010,79.36,80.79,81.96,73.44,76.07,77.49
New Jersey,Somerset County,34035,2010,83.77,80.79,81.96,80.18,76.07,77.49
New Jersey,Sussex County,34037,2010,81.23,80.79,81.96,76.81,76.07,77.49
New Jersey,Union County,34039,2010,82.39,80.79,81.96,77.77,76.07,77.49
New Jersey,Warren County,34041,2010,81.94,80.79,81.96,77.49,76.07,77.49
New Mexico,Bernalillo County,35001,2010,81.21,80.79,80.65,75.96,76.07,75.24
New Mexico,Catron County,35003,2010,80.16,80.79,80.65,72.94,76.07,75.24
New Mexico,Chaves County,35005,2010,78.88,80.79,80.65,73.27,76.07,75.24
New Mexico,Cibola County,35006,2010,78.23,80.79,80.65,74.11,76.07,75.24
New Mexico,Colfax County,35007,2010,80.97,80.79,80.65,75.93,76.07,75.24
New Mexico,Curry County,35009,2010,79.42,80.79,80.65,75.07,76.07,75.24
New Mexico,De Baca County,35011,2010,79.14,80.79,80.65,72.77,76.07,75.24
New Mexico,Doña Ana County,35013,2010,81.49,80.79,80.65,75.78,76.07,75.24
New Mexico,Eddy County,35015,2010,79.20,80.79,80.65,73.27,76.07,75.24
New Mexico,Grant County,35017,2010,80.62,80.79,80.65,75.08,76.07,75.24
New Mexico,Guadalupe County,35019,2010,79.14,80.79,80.65,72.77,76.07,75.24
New Mexico,Harding County,35021,2010,80.97,80.79,80.65,75.93,76.07,75.24
New Mexico,Hidalgo County,35023,2010,79.65,80.79,80.65,73.57,76.07,75.24
New Mexico,Lea County,35025,2010,78.55,80.79,80.65,72.52,76.07,75.24
New Mexico,Lincoln County,35027,2010,82.30,80.79,80.65,77.05,76.07,75.24
New Mexico,Los Alamos County,35028,2010,83.86,80.79,80.65,80.82,76.07,75.24
New Mexico,Luna County,35029,2010,79.65,80.79,80.65,73.57,76.07,75.24
New Mexico,McKinley County,35031,2010,79.03,80.79,80.65,70.72,76.07,75.24
New Mexico,Mora County,35033,2010,81.90,80.79,80.65,76.69,76.07,75.24
New Mexico,Otero County,35035,2010,80.14,80.79,80.65,74.99,76.07,75.24
New Mexico,Quay County,35037,2010,79.14,80.79,80.65,72.77,76.07,75.24
New Mexico,Rio Arriba County,35039,2010,79.57,80.79,80.65,70.31,76.07,75.24
New Mexico,Roosevelt County,35041,2010,79.35,80.79,80.65,74.19,76.07,75.24
New Mexico,Sandoval County,35043,2010,81.78,80.79,80.65,77.04,76.07,75.24
New Mexico,San Juan County,35045,2010,79.23,80.79,80.65,74.35,76.07,75.24
New Mexico,San Miguel County,35047,2010,79.75,80.79,80.65,72.85,76.07,75.24
New Mexico,Santa Fe County,35049,2010,82.44,80.79,80.65,77.78,76.07,75.24
New Mexico,Sierra County,35051,2010,80.16,80.79,80.65,72.94,76.07,75.24
New Mexico,Socorro County,35053,2010,79.26,80.79,80.65,73.85,76.07,75.24
New Mexico,Taos County,35055,2010,81.90,80.79,80.65,76.69,76.07,75.24
New Mexico,Torrance County,35057,2010,79.71,80.79,80.65,74.98,76.07,75.24
New Mexico,Union County,35059,2010,80.97,80.79,80.65,75.93,76.07,75.24
New Mexico,Valencia County,35061,2010,79.67,80.79,80.65,74.51,76.07,75.24
New York,Albany County,36001,2010,81.49,80.79,82.19,77.38,76.07,77.65
New York,Allegany County,36003,2010,80.06,80.79,82.19,77.35,76.07,77.65
New York,Bronx County,36005,2010,81.20,80.79,82.19,74.98,76.07,77.65
New York,Broome County,36007,2010,80.98,80.79,82.19,76.15,76.07,77.65
New York,Cattaraugus County,36009,2010,79.07,80.79,82.19,74.88,76.07,77.65
New York,Cayuga County,36011,2010,81.74,80.79,82.19,77.03,76.07,77.65
New York,Chautauqua County,36013,2010,80.66,80.79,82.19,75.46,76.07,77.65
New York,Chemung County,36015,2010,80.14,80.79,82.19,75.57,76.07,77.65
New York,Chenango County,36017,2010,80.04,80.79,82.19,76.31,76.07,77.65
New York,Clinton County,36019,2010,81.33,80.79,82.19,76.50,76.07,77.65
New York,Columbia County,36021,2010,80.90,80.79,82.19,76.32,76.07,77.65
New York,Cortland County,36023,2010,79.71,80.79,82.19,76.88,76.07,77.65
New York,Delaware County,36025,2010,80.57,80.79,82.19,76.38,76.07,77.65
New York,Dutchess County,36027,2010,81.81,80.79,82.19,77.91,76.07,77.65
New York,Erie County,36029,2010,80.31,80.79,82.19,75.72,76.07,77.65
New York,Essex County,36031,2010,81.14,80.79,82.19,77.32,76.07,77.65
New York,Franklin County,36033,2010,79.77,80.79,82.19,76.95,76.07,77.65
New York,Fulton County,36035,2010,80.64,80.79,82.19,76.15,76.07,77.65
New York,Genesee County,36037,2010,81.01,80.79,82.19,75.74,76.07,77.65
New York,Greene County,36039,2010,80.46,80.79,82.19,75.16,76.07,77.65
New York,Hamilton County,36041,2010,81.14,80.79,82.19,77.32,76.07,77.65
New York,Herkimer County,36043,2010,81.16,80.79,82.19,77.20,76.07,77.65
New York,Jefferson County,36045,2010,80.11,80.79,82.19,75.49,76.07,77.65
New York,Kings County,36047,2010,82.39,80.79,82.19,77.26,76.07,77.65
New York,Lewis County,36049,2010,81.75,80.79,82.19,75.99,76.07,77.65
New York,Livingston County,36051,2010,81.54,80.79,82.19,77.57,76.07,77.65
New York,Madison County,36053,2010,81.25,80.79,82.19,77.77,76.07,77.65
New York,Monroe County,36055,2010,81.65,80.79,82.19,77.65,76.07,77.65
New York,Montgomery County,36057,2010,79.84,80.79,82.19,76.13,76.07,77.65
New York,Nassau County,36059,2010,83.62,80.79,82.19,79.59,76.07,77.65
New York,New York County,36061,2010,84.09,80.79,82.19,79.26,76.07,77.65
New York,Niagara County,36063,2010,79.64,80.79,82.19,75.54,76.07,77.65
New York,Oneida County,36065,2010,80.88,80.79,82.19,76.05,76.07,77.65
New York,Onondaga County,36067,2010,81.76,80.79,82.19,76.92,76.07,77.65
New York,Ontario County,36069,2010,81.88,80.79,82.19,76.84,76.07,77.65
New York,Orange County,36071,2010,81.03,80.79,82.19,77.63,76.07,77.65
New York,Orleans County,36073,2010,80.37,80.79,82.19,76.06,76.07,77.65
New York,Oswego County,36075,2010,79.99,80.79,82.19,75.85,76.07,77.65
New York,Otsego County,36077,2010,81.33,80.79,82.19,76.79,76.07,77.65
New York,Putnam County,36079,2010,82.41,80.79,82.19,78.70,76.07,77.65
New York,Queens County,36081,2010,83.79,80.79,82.19,78.98,76.07,77.65
New York,Rensselaer County,36083,2010,79.93,80.79,82.19,76.48,76.07,77.65
New York,Richmond County,36085,2010,81.61,80.79,82.19,77.25,76.07,77.65
New York,Rockland County,36087,2010,83.43,80.79,82.19,79.60,76.07,77.65
New York,St. Lawrence County,36089,2010,79.63,80.79,82.19,75.52,76.07,77.65
New York,Saratoga County,36091,2010,82.37,80.79,82.19,78.66,76.07,77.65
New York,Schenectady County,36093,2010,81.61,80.79,82.19,76.91,76.07,77.65
New York,Schoharie County,36095,2010,81.80,80.79,82.19,77.43,76.07,77.65
New York,Schuyler County,36097,2010,79.12,80.79,82.19,76.37,76.07,77.65
New York,Seneca County,36099,2010,80.68,80.79,82.19,76.80,76.07,77.65
New York,Steuben County,36101,2010,80.45,80.79,82.19,75.92,76.07,77.65
New York,Suffolk County,36103,2010,82.27,80.79,82.19,78.01,76.07,77.65
New York,Sullivan County,36105,2010,79.06,80.79,82.19,74.97,76.07,77.65
New York,Tioga County,36107,2010,82.22,80.79,82.19,77.56,76.07,77.65
New York,Tompkins County,36109,2010,82.17,80.79,82.19,78.81,76.07,77.65
New York,Ulster County,36111,2010,81.23,80.79,82.19,77.13,76.07,77.65
New York,Warren County,36113,2010,81.98,80.79,82.19,77.62,76.07,77.65
New York,Washington County,36115,2010,80.37,80.79,82.19,77.16,76.07,77.65
New York,Wayne County,36117,2010,80.58,80.79,82.19,76.83,76.07,77.65
New York,Westchester County,36119,2010,84.05,80.79,82.19,79.83,76.07,77.65
New York,Wyoming County,36121,2010,80.19,80.79,82.19,76.76,76.07,77.65
New York,Yates County,36123,2010,80.45,80.79,82.19,77.12,76.07,77.65
North Carolina,Alamance County,37001,2010,80.19,80.79,79.83,74.63,76.07,74.81
North Carolina,Alexander County,37003,2010,79.33,80.79,79.83,73.84,76.07,74.81
North Carolina,Alleghany County,37005,2010,80.48,80.79,79.83,74.00,76.07,74.81
North Carolina,Anson County,37007,2010,77.18,80.79,79.83,71.32,76.07,74.81
